name,branch,description,pubkey
coderdojo-japan,japan,CoderDojo Japan用のサーバーです。主にcoderdojo.jpやDojoCastのウェブサーバーとして使います。,ssh-rsa AAAAB3NzaC1yc2EAAAABIwAAAQEAmMLlWAKh8nMRw1g23FsEvoYqYfuiA2xtoL4/9WRhLmYjKaVb+xyNcmwjX/3aSvN36PCxryMGVY1tgjysiUSo9s4E9swPyDeLb5DF3LTlSCpQRlBtymjyt8ZM46RboZyijfY+7FMxiruoW5W51qRxIOB+NUBHGs5pnxfnpCGlxU6rGqfeLL2N4QNtkKrYJ0ICFv8U/Yhvzdtx5ck1oyMorjP/HWnrxsjU9QHVrO4LYSCj9UfowyB6oa+io3C6KqiMxlqsx3GFVnUnycew6O/o8LmqMZ1HQRLKvLuQzWz8BmDueGBZSpaxz6+AhTNk85pnfkdNkoE/AtBRHqhQV+41bQ== yohei@125-6-81-20.lw.livedoor.net
coderdojo-nara-ikoma,nara-ikoma,CoderDojo奈良/CoderDojo生駒用の共有サーバーです。,ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQD1N8j3AnHuVu/Jr3v1NNOKfjcWGjWafsQnFT6y5HrXZXk/fC0OzKJAY73Nrjq9TPS3w2NsJ6zW9AFgbXrU//NFMuewP82bUGPfdBSCNR9YUnBDkyTF0fZMMFTGsDSn6JzrM1MEbHrznNL+VF1lTMDyd5H6JM3FGql7jU4XJQ9g/NbKF3eZCIzB76fuV2tD78v5AXMSjiEJM770TkoJlblIajkamxVn1RXcA9GZrydG/Mr86sh8vNknVKlodXprd9wfo/sa5w2641zWUMcnGXfW+OabFwZcKIPUjkaVZfm49RDj8kevL+8IVcj9Xcr8EobguJlATtnS6QNQuIpdWc8B
coderdojo-hommachi,hommachi,CoderDojo本町用のサーバーです。,ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAACAQDNWrtR0tM/j+w6z+3pSydQChngQda36k7oKO9Uyonn86icXqgsSOhdu4MYyFjd5XYChb23iZUYpPrcqDniYA64dXg+noJF97tMSTgrKbRCYDlI7xkdpCrc5cQ+ZwlPt6cu7SsigSHs7sA5bjnC768ZrnH/GHsXgSwUjmdG0YPd9YUfCrL3TDPFc6TVpjhM4P2cdGsVAn+sajgJeZ2EFCXjgySGrvPDzNsd8VP8lde/wiLLwKAx0qNX2cVyO7ZJdRQ7zxQZtOROm5TLw4lHE4H3A1jUgN97SmsGXZqO4l5BTCMSMY4UAiz+WMk7QJI/4KHOPzmVcISDk6/dr1coT/I80idIOc+dK2yoWTvhsYjH33ktFV5ZFYkawNkVW2RxHPopH7xKZ6sGpAuWbq1kMQRyQ5WjUO7WTnkuS8pQNuVCyzIzBKRRhcu0Vs8ffphZ8mrUK7u3LSAFjmpp+3g7NGBamOchH0urKFp+mHBURm51HK4Wv5FtrWBNupOt8RRUNXV0jnnGGONpIJMZI88xinXhUEXK+wmbMz7G0N/LrlvdGSu0bPCFUDmsj02xXtdurNQKyk//D9luuQWB2muW1zVkOEjD31/SHASeqBeZQso3v3zyI4mXJysNae+welN1KSUd/UmAYIvtRtBQbyFMMp+nQZoKJ5l/ig9hYBsetm80Dw==
coderdojo-akita,akita,CoderDojo秋田用のサーバーです。,ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQDX0qB53jL1oo7Fr2Z3fb4MeVfuCufEzbILj54IOfgVFWUexF1uRWiNjUD0oemZpUu/Mekt5/rkXDdSMxrQdaBUsrEqoSwsnHvkA3B/AleFcza4Hz2GIi6RymXM2HQcTnFDKfIE/tOdMKARb5qqirc7rbDW5O7tuv5gc76MY02+acxnKUfK4v1se2Na31bW+ghBN9m3IMafxA777TkDVS6+Viu30mLHKsEU3sC3YM0NFv09DsHzuhZhZ2gqQl53H/PU257bbaXFlHAhHgOGo5byf1o43HLBzYxdRb+RlkbbKym/UvQuyKz3Akh/dEgdhQYbpLRYttwV0Rq5EjfUU9u1
coderdojo-kadena,kadena,CoderDojo嘉手納用のサーバーです。,ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQCvBazKEE7+B8j8r5cMX76alwk9VhAyF0JdRbnPAyVyXHaqqVIMZwJ0FTyU6G7U/Z9bkxkXm9p1TNHhns27+K067CKi9DLrlWa2YY0qXA+5zA0+RPDLmWY0aQOdG2OhUllKPRdWvUSOcxunLo/2P08jmc9eyNviUIPaQ6NvkC7kSdeahVZE+yVz5zCniD8vpVmpXZ9KtjjpPIhqP50THmDMwDcLskpfRe7coO5dZ5FXeAX1G2uam/7vpUEUyy0X81V6IeQsnLKPAhVjnMu7lqALVVLDQ/ZgGe61PMLvBZDhcjitm3lIOdXXiYoDBpoShFFxbsYGSuR8ivPrqTmimwXR
coderdojo-fujisawa,fujisawa,CoderDojo藤沢用のサーバーです。,ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQCwtQxtVIXN/vzbuSotVgiK4Xp3bnSV0XT6idXE8Oi+OE6j1l8dj9Tr1t+Ui0zszzc/D/ZDcyiWc5JD0MVm+Qvxi5M+JmgRVvb4nzHopMvtY6if70qhV6fv2Ay3s7URqch6aBq/c6p9DxJcGSHdfBQNbJXGJd4lxxM+5YKfrrJ4DA2Cnwbvla/R2v3xWnFf9naf2CEWVzwdZ48Sf7nNdMPOaJ27v72Jb1CT2LRlb8683nm23ty4PLb9egczRy8th7IJNLX7G5FgN0Xpr8VO8liRYrw9vw+rxoIffKS0RoW677ZIUnZHPF/N5cprcqEpvZUrjP54Lr4nJrIe61nRygD/ kow@public.key
coderdojo-kodaira,kodaira,CoderDojo小平用のサーバーです。参加申込・備品データの管理システム、Dojo内開発環境等の運用に使います。,ssh-rsa AAAAB3NzaC1yc2EAAAABIwAAAQEAtUBqcIFIJ++GM+Y/9yjpmeo40/F/yggM+g2B10KIg0ovNfdcOjEEEXeU3Rt0rSY7vjf4IhoXAYhLgB+VpZH1/KGkGIFPFHhUgnyqMGgMYaPh/rIvOyHNHkOAcACEUmxHNOhAXj9TTN1B1RWUESPkk1SH8ZMwH5DIh6n+R/3533pKSViQklaq058Y+gDvTvRzcx3XafIuylSE0WLa97nFNWo3xdMKKzH03+14YYGLx89AiF4vZILYRSXZPuUfbL40Mx7iJGyr5jvfN9m5fN3/SQW6qrpIJ1SFhuM/wYG7l1VSeiPTbeoCgPEMe6mCV8gjC2hTkxQSqPUCCxfxQFKPrQ== hkumekawa@kumebunt-dc9181
coderdojo-funabashi,funabashi,CoderDojo船橋＠凛堂舎用のサーバーです。公式Webページを運営します。,ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAACAQCpNyvLvtIYNwQ7Ivk+H8AuPMmQO61FNOjzeG0XhNO/tzOVxkcRbFWthH+WkHzDlsdAkWFxAebdARbLpPcY06tngtu0RT1gaqqejRp0frUgryPbiHGGLJ5X0Lzt1m9FHg1rdM/Pkc0AASvO/jS67kjrXpCa3sTbhrvGb3VETqdmZ9ru0SQPafESqsPaRj4i9vo1scqk+oHj7IUUmI5lOtY1yGUOwt5wpG9volkig+fba3VAqbkm6WgieIUH8RaqtCYi2U3I2nW0/Wx1pWQVdf2pmEVuqvhSCux/VbvtR6TZss/rpvsMJK0KaRg37DzJUAKelxr5Wez+4fR58wfR6eBcz/QH9TNZwe8emmsUbFwZ90Qa8WY6X5tSUpXsnBDM40HhEg4qs10zeuZstwRddcGUI+MdZ9QviBz21VAwlPlbULRuR0DhqxIKvD/ykwKDU0Wb8dVlpCvsvzj/tFcw6q3nQCOFpXev4u6e1wQrYSQeMxCOxIS2LGjjzKkvczVOk3SGpN7fZTOp6Q8MGHuKafVVbuSIcZMHa1Ik9RM/fUpWRY17CzhyTvzNxBn5/exwYNAWkpZCFaRUeGI0nDdQsz2Mw7AehzvYoAJJw9cT8HH2tVLZWWelktNUcc8xoYikZr4yaV092r2gnxdnre0dYZ/Warhp0UuQxHTCWlhpTvy4iw==
coderdojo-konan-okayama,konan-okayama,CoderDojo岡山 岡南用のサーバーです。ニンジャの作品などのテスト実行環境、運営上のシステムなどに使用します。,ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQDAEqVYxIcsM8LwS1+xOkj/AmR1Qqvj9lVA1GSYo+gXnNKiUHlbQaB/bws2lVPg/nfUgMJQlC30zAhG6tQnGEadWHYDKiSMhWGk/aZf/gPGDKmDSSpP9uRK749wL5XaKK7XxZDMpAHrf5EeilcczBvdI5lNUnwK4m2A5t79GKIRzKCf71YLC3jWyMTuH9hqXKTr1MWes6ELxuuL6RtEkePf6pd0LyiY7M+gN/YKHKwtIAKBr2tP8luDwC7czGPOdCoxOro3jHlWtQbA44mozU43qe1NK+8khnTFGpUv8BRMa8aOK/Ydl7VwgW9fcs9VBZ4KRmUFjVJV+lL45T+n2S31 yuma.s@YUMA-PC-RED
coderdojo-nagatsuta,nagatsuta,CoderDojo長津田用のサーバーです。ニンジャの開発用Webサーバとして利用します。,ssh-rsa AAAAB3NzaC1yc2EAAAABIwAAAQEApLcwbrJTRTnAhAEVu02cWosnuubr4C8H5PzHgcoxmPUYdZh/2kp30pG5RtpGuqV8i1AillmsChtrVqK6v4TgRY8/m1/OS+Jd00LknTaJS2tA0ZhqS7Rde1hZIOZfCuMXlUJSgRfy6at2F7lkHhjF7zhtaocyo/eu4VNkvc6LZnCmVPBmNuYneu+PXH8xujnHn+H8FMPEjaYDIK2J2+fvyuiAfGX5emMuYQWbkXnvES4n0JfaliuWgKiT3TMF1EpqVlF6Y/304sVh7lyXEW+NUYMET6A8wKaSFHugioysXBaofYH2YZA2fa/mHYmpVenap2MaYC/Eyge7V2g0S7lfcw==
